time_sec,h1_kan,h2_kan,h3_kan,h4_kan,u1_kan,u2_kan
0.000000,12.375518,12.681218,1.784931,1.390664,0.000000,0.000000
0.100000,12.351011,12.662426,1.769925,1.381360,0.000000,0.000000
0.200000,12.326481,12.643623,1.754982,1.372087,0.000000,0.000000
0.300000,12.301926,12.624810,1.740103,1.362845,0.000000,0.000000
0.400000,12.277348,12.605987,1.725287,1.353634,0.000000,0.000000
0.500000,12.252746,12.587153,1.710534,1.344455,0.000000,0.000000
0.600000,12.228120,12.568309,1.695844,1.335306,0.000000,0.000000
0.700000,12.203470,12.549455,1.681217,1.326189,0.000000,0.000000
0.800000,12.178797,12.530591,1.666654,1.317103,0.000000,0.000000
0.900000,12.154100,12.511717,1.652154,1.308048,0.000000,0.000000
1.000000,12.129380,12.492832,1.637717,1.299024,0.000000,0.000000
1.100000,12.104637,12.473937,1.623343,1.290032,0.000000,0.000000
1.200000,12.079870,12.455033,1.609033,1.281070,0.000000,0.000000
1.300000,12.055079,12.436118,1.594785,1.272140,0.000000,0.000000
1.400000,12.030266,12.417193,1.580601,1.263241,0.000000,0.000000
1.500000,12.005430,12.398258,1.566481,1.254373,0.000000,0.000000
1.600000,11.980571,12.379314,1.552423,1.245536,0.000000,0.000000
1.700000,11.955688,12.360359,1.538428,1.236731,0.000000,0.000000
1.800000,11.930783,12.341394,1.524497,1.227957,0.000000,0.000000
1.900000,11.905856,12.322420,1.510629,1.219214,0.000000,0.000000
2.000000,11.880905,12.303435,1.496825,1.210502,0.000000,0.000000
2.100000,11.855932,12.284441,1.483083,1.201821,0.000000,0.000000
2.200000,11.830937,12.265437,1.469405,1.193171,0.000000,0.000000
2.300000,11.805919,12.246423,1.455790,1.184553,0.000000,0.000000
2.400000,11.780878,12.227399,1.442238,1.175966,0.000000,0.000000
2.500000,11.755816,12.208366,1.428749,1.167410,0.000000,0.000000
2.600000,11.730731,12.189323,1.415324,1.158885,0.000000,0.000000
2.700000,11.705624,12.170270,1.401961,1.150391,0.000000,0.000000
2.800000,11.680495,12.151208,1.388663,1.141929,0.000000,0.000000
2.900000,11.655344,12.132136,1.375427,1.133498,0.000000,0.000000
3.000000,11.630171,12.113055,1.362254,1.125097,0.000000,0.000000
3.100000,11.604976,12.093963,1.349145,1.116729,0.000000,0.000000
3.200000,11.579760,12.074863,1.336099,1.108391,0.000000,0.000000
3.300000,11.554522,12.055753,1.323116,1.100084,0.000000,0.000000
3.400000,11.529263,12.036633,1.310197,1.091809,0.000000,0.000000
3.500000,11.503982,12.017504,1.297340,1.083565,0.000000,0.000000
3.600000,11.478679,11.998365,1.284547,1.075352,0.000000,0.000000
3.700000,11.453356,11.979217,1.271817,1.067170,0.000000,0.000000
3.800000,11.428011,11.960060,1.259150,1.059019,0.000000,0.000000
3.900000,11.402645,11.940893,1.246547,1.050900,0.000000,0.000000
4.000000,11.377257,11.921718,1.234007,1.042812,0.000000,0.000000
4.100000,11.351849,11.902532,1.221530,1.034754,0.000000,0.000000
4.200000,11.326420,11.883338,1.209116,1.026729,0.000000,0.000000
4.300000,11.300970,11.864134,1.196766,1.018734,0.000000,0.000000
4.400000,11.275500,11.844921,1.184478,1.010770,0.000000,0.000000
4.500000,11.250008,11.825699,1.172254,1.002838,0.000000,0.000000
4.600000,11.224496,11.806468,1.160094,0.994937,0.000000,0.000000
4.700000,11.199506,11.787228,1.147996,0.987270,0.065157,0.000000
4.800000,11.175191,11.767979,1.135962,0.979895,0.148747,0.000000
4.900000,11.151559,11.748723,1.123991,0.972814,0.233585,0.000000
5.000000,11.128621,11.729461,1.112083,0.966030,0.319672,0.000000
5.100000,11.106385,11.710194,1.100239,0.959546,0.407011,0.000000
5.200000,11.084861,11.690923,1.088457,0.953364,0.495602,0.000000
5.300000,11.064058,11.671650,1.076739,0.947488,0.585447,0.000000
5.400000,11.043985,11.652375,1.065084,0.941920,0.676548,0.000000
5.500000,11.024651,11.633099,1.053493,0.936664,0.768906,0.000000
5.600000,11.006067,11.613825,1.041965,0.931720,0.862522,0.000000
5.700000,10.988240,11.594552,1.030499,0.927093,0.957398,0.000000
5.800000,10.971181,11.575283,1.019098,0.922785,1.053535,0.000000
5.900000,10.954898,11.556019,1.007759,0.918799,1.150935,0.000000
6.000000,10.939401,11.536761,0.996484,0.915137,1.249598,0.000000
6.100000,10.924699,11.517510,0.985272,0.911803,1.349525,0.000000
6.200000,10.910801,11.498267,0.974123,0.908798,1.450719,0.000000
6.300000,10.897716,11.479034,0.963037,0.906125,1.553181,0.000000
6.400000,10.885454,11.459813,0.952015,0.903787,1.656911,0.000000
6.500000,10.874024,11.440605,0.941056,0.901787,1.761911,0.000000
6.600000,10.863435,11.421410,0.930160,0.900127,1.868183,0.000000
6.700000,10.853695,11.402231,0.919328,0.898809,1.975729,0.000000
6.800000,10.844815,11.383069,0.908559,0.897837,2.084549,0.000000
6.900000,10.836804,11.363926,0.897853,0.897212,2.194647,0.000000
7.000000,10.829670,11.344802,0.887210,0.896938,2.306023,0.000000
7.100000,10.823422,11.325699,0.876630,0.897016,2.418680,0.000000
7.200000,10.818071,11.306619,0.866114,0.897450,2.532620,0.000000
7.300000,10.813625,11.287563,0.855661,0.898242,2.647846,0.000000
7.400000,10.810093,11.268533,0.845272,0.899394,2.764361,0.000000
7.500000,10.807485,11.249530,0.834945,0.900909,2.882166,0.000000
7.600000,10.805809,11.230569,0.824692,0.902790,3.001267,0.002016
7.700000,10.805075,11.211873,0.814682,0.905038,3.121581,0.039614
7.800000,10.805279,11.193451,0.804918,0.907652,3.241646,0.078133
7.900000,10.806419,11.175309,0.795403,0.910630,3.361409,0.117557
8.000000,10.808492,11.157454,0.786142,0.913967,3.480821,0.157868
8.100000,10.811493,11.139893,0.777136,0.917662,3.599834,0.199049
8.200000,10.815419,11.122631,0.768388,0.921713,3.718397,0.241081
8.300000,10.820265,11.105676,0.759901,0.926115,3.836464,0.283947
8.400000,10.826027,11.089034,0.751678,0.930866,3.953987,0.327629
8.500000,10.832700,11.072710,0.743721,0.935962,4.070920,0.372109
8.600000,10.840277,11.056710,0.736032,0.941401,4.187217,0.417369
8.700000,10.848754,11.041041,0.728614,0.947179,4.302834,0.463390
8.800000,10.858124,11.025707,0.721468,0.953292,4.417726,0.510154
8.900000,10.868381,11.010715,0.714597,0.959736,4.531850,0.557642
9.000000,10.879519,10.996069,0.708001,0.966508,4.645163,0.605836
9.100000,10.891530,10.981775,0.701684,0.973604,4.757625,0.654718
9.200000,10.904407,10.967837,0.695646,0.981020,4.869193,0.704268
9.300000,10.918142,10.954261,0.689888,0.988752,4.979828,0.754468
9.400000,10.932728,10.941051,0.684413,0.996795,5.089491,0.805299
9.500000,10.948157,10.928212,0.679221,1.005146,5.198143,0.856742
9.600000,10.964420,10.915748,0.674314,1.013799,5.305747,0.908778
9.700000,10.981509,10.903664,0.669692,1.022752,5.412266,0.961389
9.800000,10.999415,10.891962,0.665355,1.031998,5.517665,1.014554
9.900000,11.018128,10.880648,0.661306,1.041533,5.621907,1.068256
10.000000,11.037640,10.869725,0.657544,1.051354,5.724959,1.122474
10.100000,11.057940,10.859197,0.654070,1.061454,5.826788,1.177190
10.200000,11.079020,10.849067,0.650884,1.071830,5.927360,1.232385
10.300000,11.100868,10.839338,0.647987,1.082476,6.026645,1.288039
10.400000,11.123474,10.830013,0.645378,1.093388,6.124611,1.344134
10.500000,11.146829,10.821096,0.643058,1.104559,6.221229,1.400649
10.600000,11.170921,10.812589,0.641027,1.115986,6.316468,1.457565
10.700000,11.195739,10.804495,0.639284,1.127664,6.410301,1.514864
10.800000,11.221273,10.796817,0.637829,1.139586,6.502699,1.572525
10.900000,11.247511,10.789556,0.636662,1.151748,6.593636,1.630530
11.000000,11.274441,10.782715,0.635783,1.164144,6.683087,1.688858
11.100000,11.302052,10.776296,0.635190,1.176769,6.771024,1.747491
11.200000,11.330332,10.770301,0.634883,1.189618,6.857425,1.806409
11.300000,11.359269,10.764731,0.634862,1.202686,6.942264,1.865592
11.400000,11.388851,10.759589,0.635125,1.215966,7.025520,1.925020
11.500000,11.419065,10.754875,0.635672,1.229453,7.107169,1.984675
11.600000,11.449898,10.750591,0.636502,1.243142,7.187190,2.044536
