time_sec,h1_true,h2_true,h3_true,h4_true,h1_est,h2_est,h3_est,h4_est,u1_volts,u2_volts
0.000000,12.584679,12.989089,4.775436,4.882559,11.984001,11.990195,1.022626,1.023146,-0.000000,-0.000000
0.100000,12.569486,12.978099,4.750761,4.865115,11.952888,11.972834,1.062612,1.066026,-0.000000,-0.000000
0.200000,12.554258,12.966885,4.726242,4.847620,11.930764,11.982291,1.068747,1.090411,-0.000000,-0.000000
0.300000,12.538663,12.955876,4.701711,4.830267,11.906204,11.968515,1.069371,1.123370,-0.000000,-0.000000
0.400000,12.523191,12.944948,4.677198,4.812785,11.889547,11.965209,1.091245,1.171723,-0.000000,-0.000000
0.500000,12.507792,12.933919,4.653089,4.795526,11.850967,11.959931,1.131243,1.172779,-0.000000,-0.000000
0.600000,12.492224,12.922895,4.628961,4.778204,11.839079,11.964233,1.163959,1.189903,-0.000000,-0.000000
0.700000,12.476586,12.911682,4.604772,4.760824,11.792534,11.961689,1.178037,1.220285,-0.000000,-0.000000
0.800000,12.460956,12.900609,4.580627,4.743419,11.763559,11.937634,1.202549,1.215276,-0.000000,-0.000000
0.900000,12.445337,12.889519,4.556672,4.726254,11.774665,11.924818,1.201375,1.229962,-0.000000,-0.000000
1.000000,12.429697,12.878255,4.532843,4.709139,11.763198,11.893280,1.220747,1.256059,-0.000000,-0.000000
1.100000,12.413906,12.866955,4.508976,4.691930,11.726159,11.896677,1.229375,1.265292,-0.000000,-0.000000
1.200000,12.398179,12.855770,4.485277,4.675048,11.693813,11.895849,1.241472,1.275475,-0.000000,-0.000000
1.300000,12.382258,12.844512,4.461439,4.657803,11.686843,11.909856,1.227355,1.298981,-0.000000,-0.000000
1.400000,12.366450,12.833096,4.437723,4.640622,11.650741,11.917972,1.240487,1.335829,-0.000000,-0.000000
1.500000,12.350583,12.821783,4.413843,4.623579,11.623013,11.920543,1.250360,1.350826,-0.000000,-0.000000
1.600000,12.334725,12.810515,4.390218,4.606539,11.614018,11.915163,1.263982,1.385893,-0.000000,-0.000000
1.700000,12.318722,12.799237,4.366579,4.589629,11.590705,11.899638,1.249645,1.408330,-0.000000,-0.000000
1.800000,12.302878,12.787916,4.343123,4.572731,11.596999,11.900133,1.267176,1.402485,-0.000000,-0.000000
1.900000,12.286814,12.776404,4.319716,4.555797,11.568697,11.864468,1.297255,1.417841,-0.000000,-0.000000
2.000000,12.270623,12.765301,4.296514,4.539092,11.550211,11.845844,1.316573,1.434992,-0.000000,-0.000000
2.100000,12.254421,12.753882,4.273245,4.522301,11.520662,11.858814,1.319203,1.453769,-0.000000,-0.000000
2.200000,12.238495,12.742465,4.249984,4.505458,11.491345,11.838364,1.325436,1.485658,-0.000000,-0.000000
2.300000,12.222496,12.731017,4.226581,4.488747,11.464301,11.839190,1.332136,1.498097,-0.000000,-0.000000
2.400000,12.206378,12.719638,4.203335,4.471959,11.449790,11.828077,1.367923,1.510866,-0.000000,-0.000000
2.500000,12.190236,12.708102,4.180467,4.455425,11.417905,11.823931,1.354757,1.533435,-0.000000,-0.000000
2.600000,12.174047,12.696445,4.157700,4.438799,11.401687,11.829110,1.355444,1.546306,-0.000000,-0.000000
2.700000,12.157728,12.684937,4.134876,4.422307,11.376155,11.805330,1.363141,1.554723,-0.000000,-0.000000
2.800000,12.141402,12.673340,4.111853,4.405698,11.367382,11.791302,1.375934,1.550892,-0.000000,-0.000000
2.900000,12.124977,12.661824,4.089134,4.389207,11.326584,11.777774,1.369347,1.560465,-0.000000,-0.000000
3.000000,12.108559,12.650236,4.066527,4.372704,11.331129,11.773057,1.353593,1.575453,-0.000000,-0.000000
3.100000,12.092206,12.638565,4.043944,4.356203,11.304941,11.764207,1.333408,1.578088,-0.000000,-0.000000
3.200000,12.075844,12.627123,4.021391,4.339747,11.276247,11.762425,1.328312,1.590540,-0.000000,-0.000000
3.300000,12.059378,12.615312,3.998980,4.323241,11.257139,11.739562,1.330343,1.575924,-0.000000,-0.000000
3.400000,12.042803,12.603624,3.976551,4.306811,11.255095,11.749570,1.327530,1.579424,-0.000000,-0.000000
3.500000,12.026060,12.592141,3.954273,4.290493,11.232591,11.749841,1.326893,1.586150,-0.000000,-0.000000
3.600000,12.009384,12.580582,3.931991,4.274184,11.208016,11.745279,1.336325,1.603119,-0.000000,-0.000000
3.700000,11.992527,12.568803,3.909726,4.257757,11.189495,11.742634,1.337003,1.607105,-0.000000,-0.000000
3.800000,11.975896,12.557037,3.887424,4.241334,11.166183,11.730055,1.328348,1.623867,-0.000000,-0.000000
3.900000,11.959011,12.545289,3.865170,4.224983,11.149434,11.721646,1.317713,1.638517,-0.000000,-0.000000
4.000000,11.942413,12.533603,3.843032,4.208808,11.122580,11.713155,1.307126,1.656745,-0.000000,-0.000000
4.100000,11.925649,12.521887,3.820929,4.192629,11.121054,11.718474,1.306650,1.671597,-0.000000,-0.000000
4.200000,11.908774,12.510336,3.798985,4.176638,11.101136,11.719303,1.310235,1.675156,-0.000000,-0.000000
