time_sec,h1_kan,h2_kan,h3_kan,h4_kan,u1_kan,u2_kan
0.000000,12.375518,12.681218,1.784931,1.390664,0.000000,0.000000
0.100000,12.351011,12.662426,1.769925,1.381360,0.000000,0.000000
0.200000,12.326481,12.643623,1.754982,1.372087,0.000000,0.000000
0.300000,12.301926,12.624810,1.740103,1.362845,0.000000,0.000000
0.400000,12.277348,12.605987,1.725287,1.353634,0.000000,0.000000
0.500000,12.252746,12.587153,1.710534,1.344455,0.000000,0.000000
0.600000,12.228120,12.568309,1.695844,1.335306,0.000000,0.000000
0.700000,12.203470,12.549455,1.681217,1.326189,0.000000,0.000000
0.800000,12.178797,12.530591,1.666654,1.317103,0.000000,0.000000
0.900000,12.154100,12.511717,1.652154,1.308048,0.000000,0.000000
1.000000,12.129380,12.492832,1.637717,1.299024,0.000000,0.000000
1.100000,12.104637,12.473937,1.623343,1.290032,0.000000,0.000000
1.200000,12.079870,12.455033,1.609033,1.281070,0.000000,0.000000
1.300000,12.055079,12.436118,1.594785,1.272140,0.000000,0.000000
1.400000,12.030266,12.417193,1.580601,1.263241,0.000000,0.000000
1.500000,12.005430,12.398258,1.566481,1.254373,0.000000,0.000000
1.600000,11.980571,12.379314,1.552423,1.245536,0.000000,0.000000
1.700000,11.955688,12.360359,1.538428,1.236731,0.000000,0.000000
1.800000,11.930783,12.341394,1.524497,1.227957,0.000000,0.000000
1.900000,11.905856,12.322420,1.510629,1.219214,0.000000,0.000000
2.000000,11.880905,12.303435,1.496825,1.210502,0.000000,0.000000
2.100000,11.855932,12.284441,1.483083,1.201821,0.000000,0.000000
2.200000,11.830937,12.265437,1.469405,1.193171,0.000000,0.000000
2.300000,11.805919,12.246423,1.455790,1.184553,0.000000,0.000000
2.400000,11.780878,12.227399,1.442238,1.175966,0.000000,0.000000
2.500000,11.755816,12.208366,1.428749,1.167410,0.000000,0.000000
2.600000,11.730731,12.189323,1.415324,1.158885,0.000000,0.000000
2.700000,11.705624,12.170270,1.401961,1.150391,0.000000,0.000000
2.800000,11.680495,12.151208,1.388663,1.141929,0.000000,0.000000
2.900000,11.655344,12.132136,1.375427,1.133498,0.000000,0.000000
3.000000,11.630171,12.113055,1.362254,1.125097,0.000000,0.000000
3.100000,11.604976,12.093963,1.349145,1.116729,0.000000,0.000000
3.200000,11.579760,12.074863,1.336099,1.108391,0.000000,0.000000
3.300000,11.554522,12.055753,1.323116,1.100084,0.000000,0.000000
3.400000,11.529263,12.036633,1.310197,1.091809,0.000000,0.000000
3.500000,11.503982,12.017504,1.297340,1.083565,0.000000,0.000000
3.600000,11.478679,11.998365,1.284547,1.075352,0.000000,0.000000
3.700000,11.453356,11.979217,1.271817,1.067170,0.000000,0.000000
3.800000,11.428011,11.960060,1.259150,1.059019,0.000000,0.000000
3.900000,11.402645,11.940893,1.246547,1.050900,0.000000,0.000000
4.000000,11.377257,11.921718,1.234007,1.042812,0.000000,0.000000
4.100000,11.351849,11.902532,1.221530,1.034754,0.000000,0.000000
4.200000,11.326420,11.883338,1.209116,1.026729,0.000000,0.000000
4.300000,11.300970,11.864134,1.196766,1.018734,0.000000,0.000000
4.400000,11.275500,11.844921,1.184478,1.010770,0.000000,0.000000
4.500000,11.250008,11.825699,1.172254,1.002838,0.000000,0.000000
4.600000,11.224496,11.806468,1.160094,0.994937,0.000000,0.000000
4.700000,11.199278,11.787228,1.147996,0.987431,0.065157,0.000000
4.800000,11.174439,11.767980,1.135962,0.980419,0.148019,0.000000
4.900000,11.149979,11.748726,1.123991,0.973900,0.231192,0.000000
5.000000,11.125899,11.729468,1.112083,0.967873,0.314661,0.000000
5.100000,11.102200,11.710209,1.100239,0.962340,0.398413,0.000000
5.200000,11.078884,11.690949,1.088457,0.957298,0.482431,0.000000
5.300000,11.055949,11.671691,1.076739,0.952748,0.566701,0.000000
5.400000,11.033398,11.652437,1.065084,0.948689,0.651208,0.000000
5.500000,11.011230,11.633189,1.053493,0.945120,0.735936,0.000000
5.600000,10.989446,11.613949,1.041965,0.942041,0.820869,0.000000
5.700000,10.968046,11.594719,1.030499,0.939451,0.905993,0.000000
5.800000,10.947031,11.575500,1.019098,0.937348,0.991292,0.000000
5.900000,10.926400,11.556295,1.007759,0.935731,1.076750,0.000000
6.000000,10.906153,11.537106,0.996484,0.934600,1.162352,0.000000
6.100000,10.886291,11.517934,0.985272,0.933953,1.248081,0.000000
6.200000,10.866813,11.498782,0.974123,0.933789,1.333923,0.000000
6.300000,10.847720,11.479651,0.963037,0.934106,1.419862,0.000000
6.400000,10.829011,11.460545,0.952015,0.934903,1.505882,0.000000
6.500000,10.810686,11.441463,0.941056,0.936179,1.591967,0.000000
6.600000,10.792744,11.422409,0.930160,0.937930,1.678102,0.000000
6.700000,10.775185,11.403385,0.919328,0.940157,1.764272,0.000000
6.800000,10.758008,11.384392,0.908559,0.942857,1.850460,0.000000
6.900000,10.741213,11.365431,0.897853,0.946027,1.936651,0.000000
7.000000,10.724800,11.346506,0.887210,0.949667,2.022831,0.000000
7.100000,10.708766,11.327618,0.876630,0.953774,2.108983,0.000000
7.200000,10.693112,11.308769,0.866114,0.958346,2.195093,0.000000
7.300000,10.677837,11.289960,0.855661,0.963381,2.281146,0.000000
7.400000,10.662939,11.271193,0.845272,0.968877,2.367126,0.000000
7.500000,10.648417,11.252471,0.834945,0.974830,2.453019,0.000000
7.600000,10.634271,11.233794,0.824682,0.981240,2.538811,0.000000
7.700000,10.620500,11.215165,0.814482,0.988104,2.624486,0.000000
7.800000,10.607101,11.196586,0.804346,0.995418,2.710031,0.000000
7.900000,10.594074,11.178057,0.794273,1.003182,2.795432,0.000000
8.000000,10.581417,11.159580,0.784263,1.011391,2.880674,0.000000
8.100000,10.569129,11.141158,0.774316,1.020044,2.965743,0.000000
8.200000,10.557208,11.122791,0.764432,1.029138,3.050626,0.000000
8.300000,10.545653,11.104574,0.754817,1.038670,3.135310,0.026403
8.400000,10.534460,11.086516,0.745487,1.048635,3.219240,0.055204
8.500000,10.523628,11.068619,0.736443,1.059026,3.302356,0.084357
8.600000,10.513151,11.050887,0.727687,1.069837,3.384640,0.113849
8.700000,10.503029,11.033322,0.719220,1.081062,3.466076,0.143666
8.800000,10.493256,11.015925,0.711043,1.092696,3.546648,0.173797
8.900000,10.483830,10.998700,0.703156,1.104731,3.626339,0.204228
9.000000,10.474748,10.981647,0.695559,1.117161,3.705136,0.234947
9.100000,10.466006,10.964770,0.688254,1.129981,3.783024,0.265942
9.200000,10.457601,10.948070,0.681241,1.143183,3.859989,0.297202
9.300000,10.449530,10.931549,0.674520,1.156762,3.936019,0.328713
9.400000,10.441789,10.915208,0.668091,1.170711,4.011100,0.360465
9.500000,10.434375,10.899050,0.661953,1.185023,4.085222,0.392446
9.600000,10.427284,10.883076,0.656108,1.199692,4.158373,0.424645
9.700000,10.420513,10.867287,0.650555,1.214712,4.230543,0.457050
9.800000,10.414059,10.851685,0.645293,1.230076,4.301721,0.489650
9.900000,10.407917,10.836271,0.640322,1.245778,4.371899,0.522434
10.000000,10.402085,10.821046,0.635641,1.261812,4.441067,0.555392
10.100000,10.396559,10.806012,0.631250,1.278169,4.509218,0.588513
10.200000,10.391335,10.791169,0.627148,1.294845,4.576343,0.621787
10.300000,10.386410,10.776519,0.623335,1.311833,4.642436,0.655203
10.400000,10.381780,10.762062,0.619808,1.329126,4.707489,0.688751
10.500000,10.377442,10.747800,0.616568,1.346717,4.771497,0.722421
10.600000,10.373391,10.733734,0.613613,1.364601,4.834455,0.756203
10.700000,10.369625,10.719863,0.610942,1.382770,4.896356,0.790088
10.800000,10.366140,10.706189,0.608553,1.401218,4.957197,0.824065
10.900000,10.362932,10.692712,0.606446,1.419939,5.016973,0.858126
11.000000,10.359998,10.679433,0.604619,1.438926,5.075681,0.892261
11.100000,10.357333,10.666352,0.603070,1.458173,5.133317,0.926461
11.200000,10.354935,10.653470,0.601798,1.477673,5.189879,0.960717
11.300000,10.352799,10.640786,0.600801,1.497420,5.245363,0.995019
11.400000,10.350922,10.628302,0.600078,1.517408,5.299769,1.029360
11.500000,10.349300,10.616018,0.599627,1.537629,5.353095,1.063730
11.600000,10.347930,10.603933,0.599445,1.558078,5.405339,1.098120
