time_sec,h1_true,h2_true,h3_true,h4_true,h1_est,h2_est,h3_est,h4_est,u1_volts,u2_volts
0.000000,12.584677,12.989055,4.775416,4.882457,11.981360,12.035800,1.010889,1.018055,-0.000000,-0.000000
0.100000,12.569412,12.977954,4.750836,4.865065,11.972524,12.043819,1.030894,1.045451,-0.000000,-0.000000
0.200000,12.553874,12.967018,4.726375,4.847901,11.939565,12.023694,1.052017,1.071955,-0.000000,-0.000000
0.300000,12.538424,12.955897,4.702047,4.830546,11.948487,12.003674,1.057522,1.090840,-0.000000,-0.000000
0.400000,12.523008,12.944781,4.677757,4.813092,11.968490,12.008194,1.084634,1.099635,-0.000000,-0.000000
0.500000,12.507457,12.933682,4.653711,4.795724,11.934426,12.028069,1.124187,1.142506,-0.000000,-0.000000
0.600000,12.491930,12.922687,4.629428,4.778515,11.934054,12.020578,1.122325,1.187897,-0.000000,-0.000000
0.700000,12.476282,12.911550,4.605193,4.761240,11.926571,12.022479,1.135743,1.224139,-0.000000,-0.000000
0.800000,12.460866,12.900362,4.580857,4.744101,11.904767,12.030367,1.166889,1.225545,-0.000000,-0.000000
0.900000,12.445300,12.889181,4.557108,4.726932,11.902338,11.990446,1.170613,1.257646,-0.000000,-0.000000
1.000000,12.429518,12.878112,4.533006,4.709852,11.883189,11.964107,1.182808,1.282615,-0.000000,-0.000000
1.100000,12.413879,12.866923,4.509056,4.692726,11.857823,11.948917,1.202852,1.319298,-0.000000,-0.000000
1.200000,12.398074,12.855695,4.485256,4.675543,11.824043,11.932435,1.224994,1.332245,-0.000000,-0.000000
1.300000,12.382408,12.844443,4.461525,4.658374,11.804855,11.921646,1.241062,1.359165,-0.000000,-0.000000
1.400000,12.366658,12.833236,4.437740,4.641509,11.803863,11.911319,1.269030,1.392972,-0.000000,-0.000000
1.500000,12.350830,12.821893,4.414123,4.624566,11.787090,11.903773,1.270859,1.419021,-0.000000,-0.000000
1.600000,12.334985,12.810612,4.390408,4.607806,11.754496,11.903386,1.263468,1.429556,-0.000000,-0.000000
1.700000,12.319122,12.799253,4.366995,4.590821,11.756907,11.909621,1.269735,1.460206,-0.000000,-0.000000
1.800000,12.303410,12.788017,4.343338,4.573863,11.724758,11.884844,1.267896,1.467986,-0.000000,-0.000000
1.900000,12.287383,12.776532,4.319901,4.557026,11.710318,11.880159,1.273960,1.458647,-0.000000,-0.000000
2.000000,12.271230,12.765157,4.296574,4.540135,11.683025,11.864150,1.286877,1.460641,-0.000000,-0.000000
2.100000,12.255072,12.753686,4.273217,4.523206,11.668313,11.848416,1.284257,1.452682,-0.000000,-0.000000
2.200000,12.239151,12.742352,4.250042,4.506345,11.651196,11.843588,1.292120,1.454022,-0.000000,-0.000000
2.300000,12.223063,12.731079,4.226892,4.489615,11.640478,11.822963,1.310653,1.461165,-0.000000,-0.000000
2.400000,12.206927,12.719779,4.203581,4.472998,11.611948,11.812884,1.310003,1.468382,-0.000000,-0.000000
2.500000,12.190672,12.708256,4.180551,4.456243,11.589529,11.797289,1.310137,1.479011,-0.000000,-0.000000
2.600000,12.174487,12.696757,4.157576,4.439350,11.567456,11.777574,1.323685,1.468765,-0.000000,-0.000000
2.700000,12.158111,12.685234,4.134733,4.422659,11.534856,11.751881,1.332564,1.469811,-0.000000,-0.000000
2.800000,12.141829,12.673846,4.111910,4.406142,11.513784,11.757748,1.336960,1.469711,-0.000000,-0.000000
2.900000,12.125465,12.662250,4.089309,4.389704,11.481271,11.748436,1.337183,1.483380,-0.000000,-0.000000
3.000000,12.109125,12.650668,4.066701,4.373151,11.458246,11.734020,1.332156,1.506798,-0.000000,-0.000000
3.100000,12.092549,12.639119,4.044095,4.356465,11.440379,11.722780,1.327997,1.524431,-0.000000,-0.000000
3.200000,12.076128,12.627673,4.021645,4.340143,11.414285,11.704208,1.330195,1.541919,-0.000000,-0.000000
3.300000,12.059535,12.615914,3.999081,4.323693,11.395683,11.682908,1.318781,1.543002,-0.000000,-0.000000
3.400000,12.043127,12.604273,3.976682,4.307343,11.370996,11.671359,1.324339,1.534314,-0.000000,-0.000000
3.500000,12.026631,12.592423,3.954451,4.290804,11.344565,11.655494,1.324092,1.562345,-0.000000,-0.000000
3.600000,12.010208,12.580991,3.932115,4.274271,11.337044,11.628104,1.323678,1.575770,-0.000000,-0.000000
3.700000,11.993383,12.569312,3.909771,4.258063,11.320875,11.619621,1.315478,1.592152,-0.000000,-0.000000
3.800000,11.976761,12.557534,3.887519,4.241751,11.288658,11.619587,1.312704,1.599912,-0.000000,-0.000000
3.900000,11.960068,12.545788,3.865323,4.225631,11.259481,11.617813,1.313488,1.605331,-0.000000,-0.000000
4.000000,11.943181,12.534003,3.843278,4.209382,11.226253,11.621710,1.310237,1.620249,-0.000000,-0.000000
4.100000,11.926396,12.522168,3.821294,4.193188,11.190759,11.625116,1.307109,1.627638,-0.000000,-0.000000
4.200000,11.909405,12.510449,3.799434,4.176925,11.167887,11.610497,1.312284,1.629469,-0.000000,-0.000000
4.300000,11.892578,12.498575,3.777547,4.160860,11.159801,11.603258,1.322948,1.648636,-0.000000,-0.000000
4.400000,11.875755,12.486588,3.755527,4.144662,11.140918,11.613185,1.324529,1.655389,-0.000000,-0.000000
4.500000,11.858830,12.474725,3.733702,4.128720,11.117493,11.602351,1.333626,1.654544,-0.000000,-0.000000
4.600000,11.841938,12.462757,3.711996,4.112640,11.095735,11.597407,1.330502,1.656845,-0.000000,-0.000000
4.700000,11.824900,12.450952,3.690281,4.096558,11.077147,11.582483,1.329665,1.669048,-0.000000,-0.000000
4.800000,11.807850,12.439167,3.668884,4.080704,11.050419,11.582716,1.318245,1.682649,-0.000000,-0.000000
4.900000,11.790750,12.427260,3.647279,4.064962,11.033984,11.565071,1.315030,1.682835,-0.000000,-0.000000
5.000000,11.773484,12.415413,3.625945,4.048994,11.020086,11.569212,1.323158,1.698164,-0.000000,-0.000000
5.100000,11.756533,12.403398,3.604413,4.033156,10.999150,11.568758,1.315358,1.713549,-0.000000,-0.000000
5.200000,11.739297,12.391485,3.583138,4.017381,10.977425,11.566426,1.302292,1.722996,-0.000000,-0.000000
5.300000,11.721986,12.379550,3.561900,4.001609,10.962363,11.553663,1.304386,1.727997,-0.000000,-0.000000
5.400000,11.704937,12.367609,3.540481,3.985652,10.941347,11.554333,1.288720,1.727112,-0.000000,-0.000000
5.500000,11.687642,12.355675,3.519331,3.969735,10.922197,11.545439,1.287108,1.730900,-0.000000,-0.000000
5.600000,11.670169,12.343832,3.498325,3.954114,10.909477,11.527152,1.286513,1.727013,-0.000000,-0.000000
5.700000,11.652769,12.331724,3.477233,3.938297,10.888184,11.509118,1.277927,1.719156,-0.000000,-0.000000
5.800000,11.635547,12.319958,3.456293,3.922529,10.861542,11.494527,1.275090,1.715351,-0.000000,-0.000000
5.900000,11.618036,12.307994,3.435528,3.906920,10.839950,11.494271,1.264859,1.728574,-0.000000,-0.000000
6.000000,11.600734,12.295908,3.414639,3.891481,10.814174,11.480436,1.261035,1.719527,-0.000000,-0.000000
6.100000,11.583343,12.283750,3.393940,3.875829,10.786957,11.474351,1.255646,1.720441,-0.000000,-0.000000
6.200000,11.565776,12.271686,3.373181,3.860430,10.786460,11.470892,1.252592,1.713725,-0.000000,-0.000000
6.300000,11.548147,12.259605,3.352664,3.845220,10.772424,11.443241,1.252095,1.719158,-0.000000,-0.000000
6.400000,11.530325,12.247349,3.332078,3.829638,10.765854,11.452965,1.247142,1.721398,-0.000000,-0.000000
