time_sec,h1_true,h2_true,h3_true,h4_true,h1_est,h2_est,h3_est,h4_est,u1_volts,u2_volts
0.000000,12.375517,12.681233,1.785038,1.390578,11.994516,11.995712,0.971434,1.012193,-0.000000,-0.000000
0.100000,12.351063,12.662515,1.770034,1.381169,11.974707,11.966740,0.934795,1.005220,-0.000000,-0.000000
0.200000,12.326550,12.643800,1.754959,1.371912,11.952110,11.965212,0.935464,1.009063,-0.000000,-0.000000
0.300000,12.301951,12.624894,1.740075,1.362683,11.913155,11.947491,0.919040,0.990573,-0.000000,-0.000000
0.400000,12.277345,12.606158,1.725280,1.353598,11.876700,11.926221,0.907885,0.991853,-0.000000,-0.000000
0.500000,12.252776,12.587406,1.710358,1.344396,11.846596,11.916562,0.899947,0.981490,-0.000000,-0.000000
0.600000,12.228216,12.568619,1.695871,1.335434,11.816295,11.895596,0.886237,1.000640,-0.000000,-0.000000
0.700000,12.203515,12.549629,1.681298,1.326178,11.786154,11.904085,0.883313,1.006881,-0.000000,-0.000000
0.800000,12.179020,12.530708,1.666794,1.317139,11.738038,11.871865,0.867521,1.005646,-0.000000,-0.000000
0.900000,12.154176,12.511948,1.652179,1.308213,11.730538,11.866694,0.846763,1.018834,-0.000000,-0.000000
1.000000,12.129534,12.492995,1.637840,1.299213,11.724339,11.851841,0.857012,1.027114,-0.000000,-0.000000
1.100000,12.104650,12.474201,1.623553,1.290276,11.723951,11.841704,0.855034,1.007829,-0.000000,-0.000000
1.200000,12.079919,12.455339,1.609077,1.281450,11.697542,11.793107,0.829715,1.027629,-0.000000,-0.000000
1.300000,12.055241,12.436451,1.594848,1.272532,11.678855,11.781153,0.838851,1.024527,-0.000000,-0.000000
1.400000,12.030518,12.417438,1.580564,1.263497,11.697111,11.759190,0.833756,1.007354,-0.000000,-0.000000
1.500000,12.005813,12.398532,1.566307,1.254511,11.686485,11.765590,0.825348,0.990553,-0.000000,-0.000000
1.600000,11.980972,12.379777,1.552199,1.245638,11.659768,11.756278,0.830224,0.963569,-0.000000,-0.000000
